Address,Location,Price,Beds,Baths,Sqft
1 Cool Blow Street UNIT #125,"Charleston, SC 29403",450000,2 br,2 ba,1214
1624 Wigeon Lane,"Charleston, SC 29412",538888,3 br,2 ba,1440
1447 Secessionville Road,"Charleston, SC 29412",485000,5 br,3 ba,1869
328 Grouse Park,"Charleston, SC 29414",400000,3 br,"2 ba, 1 Half Bath",1644
1707 Jessamine Road,"Charleston, SC 29407",435000,4 br,2 ba,1500
131 Simons Street,"Charleston, SC 29403",1050000,3 br,"2 ba, 1 Half Bath",1675
1039 Grand Concourse,"Charleston, SC 29412",699000,3 br,2 ba,2517
201 Waning Way,"Charleston, SC 29492",699900,4 br,"2 ba, 1 Half Bath",2760
1619 Westmoreland Avenue,"Charleston, SC 29412",479000,4 br,3 ba,1357
2226 Brown Pelican,"Charleston, SC 29412",849900,3 br,"3 ba, 1 Half Bath",2320
25 Cannon Street,"Charleston, SC 29403",1900000,4 br,4 ba,1344
1 Kracke Street,"Charleston, SC 29403",864900,2 br,2 ba,1020
132 Queen Street UNIT A,"Charleston, SC 29401",819000,2 br,2 ba,1471
1756 Combahee Street,"Charleston, SC 29412",487500,3 br,2 ba,1265
773 Lake Frances,"Charleston, SC 29412",599900,3 br,"2 ba, 1 Half Bath",1539
1157 Oakcrest Drive,"Charleston, SC 29412",555000,3 br,2 ba,1928
827 Hemmingway Drive,"Charleston, SC 29414",424900,3 br,2 ba,1940
130 River Landing Drive UNIT #2314,"Charleston, SC 29492",295000,1 br,1 b,776
530 Merrywood Drive,"Charleston, SC 29414",479900,4 br,"2 ba, 1 Half Bath",2190
2331 W Palmer Drive,"Charleston, SC 29414",419900,3 br,2 ba,1928
669 Marina Drive UNIT P9,"Charleston, SC 29492",65000,n/a ,", n/a b",1
116 Rutledge Avenue UNIT A,"Charleston, SC 29401",995000,3 br,"2 ba, 1 Half Bath",1975
57 Legare Street UNIT A,"Charleston, SC 29401",950000,2 br,"2 ba, 1 Half Bath",1469
2123 Tides End,"Charleston, SC 29412",679500,3 br,"2 ba, 1 Half Bath",2178
1860 Mepkin Road UNIT H4,"Charleston, SC 29407",210000,2 br,"1 ba, 1 Half Bath",1008
1824 Grimball Road,"Charleston, SC 29412",475000,4 br,3 ba,2319
510 Merrywood Drive,"Charleston, SC 29414",485000,6 br,3 ba,3078
1307/1313 Fretwell Street,"Charleston, SC 29406",412500,2 br,1 ba,1100
1570 Highland Avenue,"Charleston, SC 29412",650000,4 br,"2 ba, 1 Half Bath",2045
2317 Ardeer Drive,"Charleston, SC 29414",465000,3 br,"2 ba, 1 Half Bath",2050
2129 Barbour Drive,"Charleston, SC 29414",375000,4 br,2 ba,1477
437 Riverland Drive,"Charleston, SC 29412",435000,2 br,1 ba,1248
2244 Ashley Crossing Drive UNIT #138,"Charleston, SC 29414",275000,1 br,"1 ba, 1 Half Bat",932
173 Rutledge Avenue UNIT C,"Charleston, SC 29403",415000,3 br,"1 ba, 1 Half Bath",1158
1709 Jessamine Road,"Charleston, SC 29407",450000,3 br,"2 ba, 1 Half Bath",1770
2 Francis Street UNIT K,"Charleston, SC 29403",369000,1 br,1 b,748
7004 Windmill Creek,"Charleston, SC 29414",460000,4 br,"2 ba, 1 Half Bath",2100
867 Colony Dr UNIT F-82,"Charleston, SC 29407",175000,1 br,1 b,576
"78 Spring Street UNIT B, C, & D","Charleston, SC 29403",2995000,7 br,7 ba,3469
3168 Stanyarne Drive,"Charleston, SC 29414",595000,3 br,"2 ba, 1 Half Bath",3500
306 S Ladd Court,"Charleston, SC 29492",1135000,3 br,"3 ba, 2 Half Bath",2774
758 Bent Hickory,"Charleston, SC 29414",470000,4 br,"2 ba, 1 Half Bath",2000
1578 Charming Nancy,"Charleston, SC 29412",1395900,4 br,"3 ba, 1 Half Bath",2620
15 Broad Street,"Charleston, SC 29401",3200000,n/a ,", n/a ba",7024
1512 Seacroft Road,"Charleston, SC 29412",265000,3 br,1 b,999
1061 Greenhill Road,"Charleston, SC 29412",240000,4 br,2 ba,1665
1720 Houghton Drive,"Charleston, SC 29412",675000,5 br,2 ba,2200
1813 Grovehurst Drive,"Charleston, SC 29414",535000,4 br,"2 ba, 1 Half Bath",2427
826 Rue Drive,"Charleston, SC 29414",420000,3 br,"3 ba, 1 Half Bath",2057
425 Shadowmoss Parkway,"Charleston, SC 29414",759900,3 br,"3 ba, 1 Half Bath",2980
1543 Creek Side,"Charleston, SC 29492",1250000,5 br,"3 ba, 1 Half Bath",2900
3 Avon Court,"Charleston, SC 29407",499000,4 br,"2 ba, 1 Half Bath",2518
63 Society Street,"Charleston, SC 29401",4595000,6 br,"6 ba, 1 Half Bath",6640
428 Amalie Farms,"Charleston, SC 29492",835000,3 br,"2 ba, 1 Half Bath",2808
73 Congress Street,"Charleston, SC 29403",539900,2 br,1 b,950
943 Carmel Drive,"Charleston, SC 29412",849000,4 br,"2 ba, 1 Half Bath",2456
2362 Parsonage Road UNIT 4c,"Charleston, SC 29414",195000,2 br,"1 ba, 1 Half Bat",918
125 Pier View Street UNIT #105,"Charleston, SC 29492",419900,2 br,2 ba,1167
1748 Somerset Circle,"Charleston, SC 29407",899900,5 br,4 ba,3515
734 Ponderosa Drive,"Charleston, SC 29414",425000,6 br,4 ba,2407
2 Francis Street UNIT E,"Charleston, SC 29403",335000,1 br,"1 ba, 1 Half Bat",682
1473 Woodview Lane,"Charleston, SC 29412",385000,4 br,2 ba,1353
186 Sans Souci Street,"Charleston, SC 29403",795000,4 br,2 ba,2081
1627 Dickens Street,"Charleston, SC 29407",495000,4 br,2 ba,1625
150 Bee Street UNIT #802,"Charleston, SC 29401",875000,2 br,"2 ba, 1 Half Bath",1609
52 Aiken Street,"Charleston, SC 29403",295000,4 br,2 ba,1626
22-3/4 Pitt Street,"Charleston, SC 29401",1125000,3 br,3 ba,1803
121 Low Tide,"Charleston, SC 29492",759000,5 br,"3 ba, 1 Half Bath",2616
2227 Weepoolow Trail,"Charleston, SC 29407",1240000,5 br,"4 ba, 2 Half Bath",4605
735 Ponderosa Drive,"Charleston, SC 29414",389900,3 br,"2 ba, 1 Half Bath",1807
2085 Shrimp Street,"Charleston, SC 29412",749990,3 br,"1 ba, 1 Half Bath",1116
154 Mary Ellen,"Charleston, SC 29403",1999999,4 br,"3 ba, 1 Half Bath",4097
180 Mary Ellen,"Charleston, SC 29403",2890000,5 br,"4 ba, 1 Half Bath",3428
6 Radcliffe Place,"Charleston, SC 29403",995000,3 br,"2 ba, 1 Half Bath",1608
1378 Tara Road,"Charleston, SC 29407",429000,4 br,3 ba,1924
1908 2nd Drive,"Charleston, SC 29407",449000,3 br,2 ba,1529
2345 Tall Sail Dr Apt G Drive UNIT #107,"Charleston, SC 29414",550000,2 br,2 ba,1100
2125 S Dallerton Circle,"Charleston, SC 29414",415000,4 br,3 ba,1841
1913 Cypress Branch,"Charleston, SC 29414",595000,5 br,"2 ba, 1 Half Bath",2650
2796 Jobee Drive,"Charleston, SC 29414",375000,3 br,2 ba,2088
8 Queen Street,"Charleston, SC 29401",2495000,4 br,"2 ba, 1 Half Bath",3276
1609 Holton Place,"Charleston, SC 29407",567500,3 br,2 ba,1910
169 King Street UNIT #302,"Charleston, SC 29401",995000,2 br,"2 ba, 1 Half Bath",1378
1232 Winchester Drive,"Charleston, SC 29407",675000,5 br,3 ba,2654
1061 Bennington Drive,"Charleston, SC 29492",355000,3 br,"2 ba, 1 Half Bath",1694
5 Gadsdenboro Street UNIT #406,"Charleston, SC 29401",530000,1 br,1 b,753
1110 King Street,"Charleston, SC 29403",720000,3 br,2 ba,1492
2125 Edisto Avenue,"Charleston, SC 29412",645000,3 br,3 ba,2183
412 Woodland Shores,"Charleston, SC 29412",638000,3 br,"2 ba, 1 Half Bath",2043
83 East Bay Street,"Charleston, SC 29401",4499000,3 br,"2 ba, 2 Half Bath",4788
46 Poplar Street,"Charleston, SC 29403",650000,2 br,2 ba,1236
1755 Central Park Road UNIT #5208,"Charleston, SC 29412",280000,2 br,2 b,990
1767 Pierce Street,"Charleston, SC 29492",1650000,5 br,"4 ba, 1 Half Bath",3722
280 Seven Farms Drive UNIT #303,"Charleston, SC 29492",425000,2 br,2 ba,1225
1552 Clark Sound,"Charleston, SC 29412",559500,4 br,3 ba,1853
1426 Stowe Mountain,"Charleston, SC 29412",1650000,5 br,5 ba,4128
849 Hopewell Drive,"Charleston, SC 29492",623613,3 br,"2 ba, 1 Half Bath",1978
1625 Mulberry Street,"Charleston, SC 29407",305000,2 br,1 ba,1160
2889 Rutherford Way,"Charleston, SC 29414",620000,4 br,"3 ba, 1 Half Bath",2572
21 Cleveland Street,"Charleston, SC 29403",895000,3 br,"2 ba, 1 Half Bath",1968
1734 Combahee Street,"Charleston, SC 29412",599000,5 br,2 ba,2418
9 Wendy Lane,"Charleston, SC 29407",525000,3 br,2 ba,1468
2213 Generals Street,"Charleston, SC 29492",831875,4 br,3 ba,2881
3519 Matisse Street,"Charleston, SC 29492",824916,4 br,3 ba,2618
1005 Bidwell Circle,"Charleston, SC 29414",400000,4 br,3 ba,2233
2436 Havana Street,"Charleston, SC 29492",759736,4 br,"3 ba, 1 Half Bath",2620
