Address,Location,Price,Beds,Baths,Sqft
2428 Havana Street,"Charleston, SC 29492",688038,4 br,3 ba,2435
2060 Sanders House Street,"Charleston, SC 29492",745793,3 br,"2 ba, 1 Half Bath",1978
3 Cochran Court,"Charleston, SC 29407",3799000,4 br,"4 ba, 2 Half Bath",5064
847 Hopewell Drive,"Charleston, SC 29492",635002,3 br,"2 ba, 1 Half Bath",2249
40 Poinsett Street,"Charleston, SC 29403",825000,4 br,3 ba,2030
1222 Wando Shores,"Charleston, SC 29492",449800,3 br,2 ba,1575
21 Rivers Point Row UNIT 3c,"Charleston, SC 29412",245000,2 br,"1 ba, 1 Half Bath",1050
172 Saint Philip Street UNIT E,"Charleston, SC 29403",1189900,3 br,2 b,800
1050 Woodside Drive,"Charleston, SC 29412",484000,3 br,2 ba,1366
2632 Morning Dove,"Charleston, SC 29414",398500,3 br,"2 ba, 1 Half Bath",1694
1759 Waterbrook Drive,"Charleston, SC 29414",795000,5 br,"4 ba, 1 Half Bath",3273
2816 Dresser Court,"Charleston, SC 29414",679000,4 br,"3 ba, 1 Half Bath",2908
2714 Rutherford Way,"Charleston, SC 29414",614900,4 br,"3 ba, 1 Half Bath",2572
3172 Safe Harbor Way,"Charleston, SC 29414",495470,4 br,"2 ba, 1 Half Bath",2315
1427 Emerald Forest Parkway,"Charleston, SC 29414",449000,4 br,3 ba,2053
110 King Street,"Charleston, SC 29401",2375000,5 br,"4 ba, 1 Half Bath",3175
8047 Gibbon Street,"Charleston, SC 29492",1249900,5 br,"4 ba, 1 Half Bath",2960
3 1/2 Kracke Street UNIT B,"Charleston, SC 29403",349500,2 br,1 b,802
985 Hunt Club Run,"Charleston, SC 29414",725000,4 br,"2 ba, 1 Half Bath",3015
1215 Kensington Drive,"Charleston, SC 29407",695000,4 br,"3 ba, 1 Half Bath",2766
3177 Safe Harbor,"Charleston, SC 29414",496710,4 br,2 ba,1955
61 Oak Bluff,"Charleston, SC 29492",587140,3 br,"2 ba, 1 Half Bath",2051
21 Burns Lane,"Charleston, SC 29401",2995000,1 br,"2 ba, 1 Half Bath",3931
488 Saint Andrews,"Charleston, SC 29407",320000,3 br,2 ba,1492
1 King Street UNIT #408,"Charleston, SC 29401",1190000,2 br,2 ba,1193
71 Pitt Street,"Charleston, SC 29403",3200000,5 br,"4 ba, 1 Half Bath",4186
303 Stono Drive,"Charleston, SC 29412",3675000,4 br,3 ba,3238
847 Melrose Drive,"Charleston, SC 29414",470000,4 br,2 ba,2250
62 Oak Bluff,"Charleston, SC 29492",584921,4 br,"3 ba, 1 Half Bath",2274
1466 Eutaw Battalion Drive,"Charleston, SC 29412",849000,3 br,"2 ba, 1 Half Bath",1712
213 Amberjack Lane,"Charleston, SC 29492",1975000,5 br,"5 ba, 1 Half Bath",3533
12 Simons Street,"Charleston, SC 29403",870000,3 br,"2 ba, 1 Half Bath",1697
191 River Breeze Drive UNIT #7,"Charleston, SC 29407",315000,3 br,2 ba,1400
294 Congress Street,"Charleston, SC 29403",1345000,3 br,"2 ba, 1 Half Bath",2326
1829 Dogwood Road UNIT #303,"Charleston, SC 29414",269900,3 br,3 ba,1432
150 Bee Street UNIT #602,"Charleston, SC 29401",583000,2 br,"2 ba, 1 Half Bath",1609
1579 Wabeek Way,"Charleston, SC 29414",465000,3 br,"2 ba, 1 Half Bath",2020
414 Woodland Shores,"Charleston, SC 29412",639000,3 br,"2 ba, 1 Half Bath",2012
318 Hollywood Drive,"Charleston, SC 29407",575000,3 br,2 ba,1536
130 River Landing Drive UNIT #7118,"Charleston, SC 29492",485000,2 br,2 ba,1094
804 Waxwood Lane,"Charleston, SC 29412",931140,4 br,2 ba,2871
808 Waxwood Lane,"Charleston, SC 29412",844542,5 br,"2 ba, 1 Half Bath",2759
1303 Palm Cove,"Charleston, SC 29492",459900,3 br,2 ba,1494
4 Oak Bluff,"Charleston, SC 29492",531990,3 br,"2 ba, 1 Half Bath",2051
78 Oak Bluff,"Charleston, SC 29492",597350,4 br,"3 ba, 1 Half Bath",2688
54 Church Street UNIT A & B,"Charleston, SC 29401",2300000,5 br,"4 ba, 1 Half Bath",4542
1613 Amberly Road,"Charleston, SC 29407",655000,6 br,3 ba,2624
1653 Folly Creek Way UNIT E-4,"Charleston, SC 29412",1100000,3 br,3 ba,1917
527 Rutledge Avenue UNIT A+B,"Charleston, SC 29403",849900,4 br,4 ba,1900
232 Congress Street,"Charleston, SC 29403",1499000,4 br,"3 ba, 1 Half Bath",2769
8082 Old Hazelwood,"Charleston, SC 29406",305000,3 br,"2 ba, 1 Half Bath",1896
1530 Fort Johnson Road UNIT 2j,"Charleston, SC 29412",255000,2 br,"1 ba, 1 Half Bath",1160
2 Wharfside Street UNIT 5w,"Charleston, SC 29401",3775000,2 br,"2 ba, 1 Half Bath",2862
14 Lockwood Drive UNIT 7 E,"Charleston, SC 29401",450000,2 br,"1 ba, 1 Half Bath",1061
1034 Bradbury Lane,"Charleston, SC 29492",1244990,4 br,"3 ba, 1 Half Bath",3173
564 Hainesworth Drive,"Charleston, SC 29414",380000,3 br,2 ba,1321
1631 Telfair Way,"Charleston, SC 29412",340000,2 br,2 ba,1074
1369 White Drive,"Charleston, SC 29407",575000,4 br,2 ba,1591
2916 Marginal Road,"Charleston, SC 29414",338000,4 br,2 ba,1430
1815 Dogwood Road UNIT #804,"Charleston, SC 29414",299900,3 br,3 ba,1430
2231 Hunter Creek,"Charleston, SC 29414",559000,4 br,"2 ba, 1 Half Bath",2340
1052 Teracotta Drive UNIT Lot 20,"Charleston, SC 29407",1195000,4 br,"3 ba, 1 Half Bath",2809
2016 Ironstone Alley UNIT Lot 44,"Charleston, SC 29407",1149000,4 br,"3 ba, 1 Half Bath",2809
3004 Amethyst Aly Alley UNIT Lot 14,"Charleston, SC 29407",1191500,4 br,"3 ba, 1 Half Bath",2809
3008 Amethyst Aly Alley UNIT Lot 13,"Charleston, SC 29407",1153500,4 br,"3 ba, 1 Half Bath",2523
11 Allway Street UNIT B,"Charleston, SC 29403",315000,3 br,2 ba,1509
162 Beresford Creek,"Charleston, SC 29492",2999999,3 br,"2 ba, 1 Half Bath",2566
1519 Mitchell Wharf,"Charleston, SC 29492",949900,3 br,"2 ba, 1 Half Bath",1699
1555 Scott Hill,"Charleston, SC 29412",450000,3 br,"1 ba, 1 Half Bath",1869
