,Address,Location,Price,Beds,Baths,Sqft
79,2653 Marsh Creek Drive,"Charleston, SC 29414","$775,000",3 br,"2 ba, 1 Half Bath",3078 Sqft
80,330 Concord Street UNIT 14 A,"Charleston, SC 29401","$749,900",1 br,"1 ba, 1 Half Bath",1121 Sqft
81,787 Bent Hickory Road,"Charleston, SC 29414","$470,000",3 br,2 ba,2039 Sqft
82,146 Simons Street,"Charleston, SC 29403","$915,000",3 br,2 ba,1789 Sqft
83,100 Oyster Point Row,"Charleston, SC 29412","$685,000",4 br,"2 ba, 1 Half Bath",2261 Sqft
84,5 President Place,"Charleston, SC 29403","$799,000",2 br,2 ba,1880 Sqft
85,2099 Sanders House,"Charleston, SC 29492","$594,995",3 br,"2 ba, 1 Half Bath",2189 Sqft
86,1345 Bresee Street,"Charleston, SC 29412","$439,000",3 br,2 ba,1404 Sqft
87,1500 Swamp Fox Lane,"Charleston, SC 29412","$499,000",3 br,"2 ba, 1 Half Bath",1612 Sqft
88,1547 Creek Side,"Charleston, SC 29492","$1,150,000",4 br,"3 ba, 1 Half Bath",2988 Sqft
89,815 Bibury Court,"Charleston, SC 29414","$374,990",3 br,"2 ba, 1 Half Bath",1641 Sqft
90,340 Cabell Street,"Charleston, SC 29407","$475,000",3 br,2 ba,1628 Sqft
91,2004 Needlegrass Lane,"Charleston, SC 29412","$920,000",3 br,"2 ba, 1 Half Bath",2615 Sqft
92,1554 Bluewater Way,"Charleston, SC 29414","$332,500",2 br,"2 ba, 2 Half Bath",1564 Sqft
93,130 River Landing Drive UNIT #7116,"Charleston, SC 29492","$335,000",1 br,1 b, 640 Sqft
94,578 Old Compass,"Charleston, SC 29492","$3,489,000",4 br,"4 ba, 2 Half Bath",4500 Sqft
95,13 Colonial Street,"Charleston, SC 29401","$1,700,000",4 br,"3 ba, 1 Half Bath",2970 Sqft
96,19 N Tracy Street,"Charleston, SC 29403","$675,000",3 br,2 ba,1181 Sqft
97,664 Harbor Creek,"Charleston, SC 29412","$585,000",3 br,"3 ba, 1 Half Bath",1962 Sqft
98,1119 Sea Eagle Watch,"Charleston, SC 29412","$935,000",3 br,"2 ba, 2 Half Bath",2450 Sqft
99,341 Culver Avenue,"Charleston, SC 29407","$380,000",3 br,2 ba,1348 Sqft
100,134 Wappoo Creek Drive,"Charleston, SC 29412","$650,000Reduced  -$29,900 ",2 br,"2 ba, 1 Half Bath",1942 Sqft
101,2222 Waterfowl Lane,"Charleston, SC 29414","$989,990",4 br,"3 ba, 1 Half Bath",3367 Sqft
102,13 Iron Forge,"Charleston, SC 29403","$975,000",3 br,"2 ba, 1 Half Bath",1806 Sqft
103,11 Iron Forge,"Charleston, SC 29403","$975,000Increase  +$20,000 ",3 br,"3 ba, 1 Half Bath",1708 Sqft
104,9 S Hampton Drive,"Charleston, SC 29407","$578,000",3 br,"2 ba, 1 Half Bath",2017 Sqft
105,1 Cool Blow Street UNIT #134,"Charleston, SC 29403","$350,000",2 br,1 b, 822 Sqft
106,130 Howard Mary Drive UNIT A,"Charleston, SC 29412","$600,000",3 br,3 ba,1664 Sqft
107,151 Wentworth Street UNIT 1b,"Charleston, SC 29401","$494,900",1 br,1 b, 680 Sqft
108,1460 N Sherwood Drive,"Charleston, SC 29407","$415,000",2 br,2 ba,1144 Sqft
109,878 Stiles Drive,"Charleston, SC 29412","$475,000",3 br,2 ba,1742 Sqft
110,382 Race Street UNIT A,"Charleston, SC 29403","$539,900",2 br,1 b, 848 Sqft
111,1380 N Edgewater Drive,"Charleston, SC 29407","$650,000Reduced  -$45,000 ",3 br,2 ba,1341 Sqft
112,1012 Orleans Road,"Charleston, SC 29407","$384,999Reduced  -$5,000 ",4 br,"2 ba, 1 Half Bath",1720 Sqft
113,709 Hunt Club Run,"Charleston, SC 29414","$537,000",4 br,"3 ba, 1 Half Bath",2536 Sqft
